,geo_name,geo_lat,geo_lon
1744,,,
1745,,,
1746,,,
1747,,,
1748,,,
1749,,,
1750,,,
1751,,,
1752,,,
1753,,,
1754,,,
1755,Oakland County,42.66041,-83.3858
1756,,,
1757,California,37.25022,-119.75126
1758,,,
1759,,,
1760,,,
1761,,,
1762,,,
1763,,,
1764,,,
1765,,,
1766,,,
1767,,,
1768,Orange County,33.67691,-117.77617
1769,,,
1770,,,
1771,,,
1772,,,
1773,,,
1774,,,
1775,,,
1776,Mount Pleasant,43.59781,-84.76751
1777,,,
1778,,,
1779,Mount Auburn,39.39255,-85.8936
1780,,,
1781,Lafayette County,34.35675,-89.48492
1782,,,
1783,,,
1784,,,
1785,,,
1786,,,
1787,,,
1788,,,
1789,,,
1790,,,
1791,Massachusetts,42.36565,-71.10832
1792,Town of Westport,41.57798,-71.08189
1793,,,
1794,,,
1795,,,
1796,,,
1797,,,
1798,,,
1799,,,
1800,,,
1801,,,
1802,Central Avenue Trailer Court,47.60827,-114.67735
1803,,,
1804,Santa Clara County,37.23249,-121.69627
1805,,,
1806,,,
1807,,,
1808,,,
1809,,,
1810,,,
1811,,,
1812,,,
1813,,,
1814,,,
1815,,,
1816,,,
1817,,,
1818,,,
1819,,,
1820,Valle de Echo,42.71937,-0.73055
1821,,,
1822,,,
1823,,,
1824,,,
1825,,,
1826,,,
1827,,,
1828,,,
1829,,,
1830,,,
1831,,,
1832,,,
1833,,,
1834,,,
1835,,,
1836,,,
1837,,,
1838,,,
1839,,,
1840,,,
1841,,,
1842,,,
1843,,,
1844,,,
1845,,,
1846,,,
1847,,,
1848,,,
1849,,,
1850,,,
1851,,,
1852,,,
1853,,,
1854,,,
1855,,,
1856,,,
1857,,,
1858,,,
1859,,,
1860,,,
1861,,,
1862,Town of Empire,43.75294,-88.33917
1863,Main Street Commercial District,31.22354,-85.39209
1864,,,
1865,,,
1866,,,
1867,,,
1868,,,
1869,,,
1870,,,
1871,,,
1872,,,
1873,,,
1874,,,
1875,Departamento de Río San Juan,11.33333,-84.58333
1876,,,
1877,,,
1878,,,
1879,,,
1880,,,
1881,,,
1882,,,
1883,,,
1884,,,
1885,,,
1886,,,
1887,,,
1888,Mariposa County,37.58152,-119.90552
1889,,,
1890,Prospect Park,41.51701,-78.21556
1891,,,
1892,,,
1893,,,
1894,Sunset Hills,38.53894,-90.40734
1895,,,
1896,,,
1897,,,
1898,,,
1899,,,
1900,,,
